"﻿""Название предмета""";Сезонность ниши;Дата обнаружения;Товары, шт.;Количество новинок;Товары с остатками, шт.;% товаров с остатками;Товары с продажами, шт.;% товаров с продажами;% товаров с продажами от товаров с движением;Бренды;Бренды с продажами;% брендов с продажами;Продавцы;Продавцы с продажами;% продавцов с продажами;Продажи, шт.;Выручка, ₽;Упущенная выручка, ₽;Упущенная выручка %;Потенциал, ₽;Суммарные остатки, шт.;Замороженный остаток, шт.;Замороженный остаток в цене, ₽;Замороженный остаток, %;Оборачиваемость, дн.;Минимальная цена, ₽;Максимальная цена, ₽;Средняя цена, ₽;Медианная цена, ₽;Минимальная цена с продажами, ₽;Максимальная цена с продажами, ₽;Средняя цена с продажами, ₽;Медианная цена с продажами, ₽;Средний рейтинг;Средний рейтинг с продажами;Процент выкупа, %
Антиквариат и коллекционирование / Коллекционирование / Значки и медали коллекционные;2;2020-01-04;70691;11478;5051;7,15;2822;3,99;55,87;243;85;34,98;6552;201;3,07;17274;9783215;8000551;44,99;17783766;46859;32707;20913732;69,8;81,38;27;128169;927,49;395;27;13486;688,78;567;4,86;4,42;89,0
Спорт и отдых / Товары для велоспорта / Аксессуары велосипедные / Фонари велосипедные;2;2020-01-04;75230;24388;1114;1,48;677;0,9;60,77;696;158;22,7;20243;302;1,49;11291;9778938;2745307;21,92;12524245;48868;34599;30202402;70,8;129,84;0;196369;2073,64;547;99;20284;1505,54;934;4,66;4,53;75,0
Строительство и ремонт / Электрика / Розетки, вилки и выключатели / Диммеры и светорегуляторы;1;2020-01-04;6978;889;766;10,98;517;7,41;67,49;238;97;40,76;611;196;32,08;13845;9776302;3824656;28,12;13600958;23158;9925;11629838;42,86;50,18;100;570832;7413,58;5148;178;12772;1686,63;827;4,63;4,41;93,6
Дом и сад / Хранение вещей / Вешалки для одежды / Органайзеры для вешалок;2;2020-01-04;59569;7117;436;0,73;353;0,59;80,96;479;100;20,88;23634;216;0,91;21793;9776266;1193692;10,88;10969958;51952;29761;10886547;57,29;71,52;0;279355;2503,52;391;63;5496;557,9;393;4,72;4,55;86,4
Хобби и творчество / Рукоделие / Материалы и инструменты для ювелиров;2;2020-01-04;106961;25350;1843;1,72;1373;1,28;74,5;547;92;16,82;18124;204;1,13;15266;9768334;10252666;51,21;20021000;24534;12606;6723749;51,38;48,21;0;237076;1841,65;302;98;28950;1243,19;703;4,8;4,75;88,4
Спорт и отдых / Товары для велоспорта / Аксессуары велосипедные / Инструменты велосипедные;3;2020-01-04;226765;47190;1221;0,54;835;0,37;68,39;775;165;21,29;23873;316;1,32;15357;9768246;2860329;22,65;12628575;35115;20229;9285425;57,61;68,6;0;200249;1119,65;335;36;13483;882,02;523;4,72;4,63;77,8
Автотовары / Масла и автохимия / Клей и герметики автомобильные / Фиксаторы резьбы;2;2020-01-04;7029;1552;348;4,95;278;3,96;79,89;143;48;33,57;3328;102;3,06;26046;9724370;1745958;15,22;11470328;39805;18992;12124856;47,71;45,85;67;169819;3517,67;447;125;8035;803,37;523,5;4,79;4,69;96,0
Дом и сад / Цветы, растения и горшки / Защита и уход за растениями / Геотекстиль и георешетки;2;2020-08-03;6422;400;903;14,06;594;9,25;65,78;143;57;39,86;825;91;11,03;6062;9701079;8355961;46,28;18057040;7524;4480;10002188;59,54;37,24;30;320000;6839,5;3512;74;22270;2355,24;1706,5;4,8;4,74;87,1
Автотовары / Запчасти для легковых автомобилей / Система выпуска / Коллекторы выпускные;2;2020-08-25;6961;563;755;10,85;505;7,25;66,89;417;100;23,98;665;165;24,81;10477;9667442;10335078;51,67;20002520;22196;12120;10648275;54,6;63,56;129;803928;8542,91;3791;129;28702;5084,4;4121;4,74;4,46;87,4
Канцелярские товары / Бумажная продукция / Бланки, визитки и сертификаты;2;2020-01-04;25284;4483;2034;8,04;1328;5,25;65,29;357;119;33,33;5850;322;5,5;28728;9652281;4158442;30,11;13810723;57903;33069;14289445;57,11;60,47;1;199719;2392,04;575;1;11612;564,38;365;4,89;4,69;90,2
Товары для взрослых / Товары для БДСМ / Секс-машины;2;2020-01-04;27198;4309;151;0,56;119;0,44;78,81;126;23;18,25;14055;35;0,25;2102;9632255;1346945;12,27;10979200;2446;736;3558337;30,09;34,91;20;953832;18792,53;13652,5;145;40005;7341,63;2689;4,51;4,6;78,3
Строительство и ремонт / Двери, окна, лестницы и комплектующие / Комплектующие к окнам и дверям / Оконные проветриватели;3;2020-01-04;771;35;24;3,11;21;2,72;87,5;35;5;14,29;442;7;1,58;14443;9631812;592521;5,8;10224333;9687;370;195625;3,82;20,12;111;48009;2409,89;1717;386;3325;1034,95;933;4,74;4,8;87,6
Детские товары / Подгузники и гигиена / Здоровье и уход за ребенком / Детские ножницы;1;2020-01-04;51448;11923;277;0,54;238;0,46;85,92;235;71;30,21;22234;115;0,52;25028;9631207;2429869;20,15;12061076;28402;7012;5112209;24,69;34,04;22;879995;16077,43;5081;97;9000;831,91;432,5;4,61;4,64;93,3
Продукты питания / Молочные продукты, сыры и яйца / Сливки;1;2020-01-04;1162;126;109;9,38;97;8,35;88,99;122;33;27,05;315;39;12,38;19190;9620082;1391128;12,63;11011210;22301;6208;4733256;27,84;34,86;49;89461;5037,13;1140;118;6300;1147,46;745;4,78;4,72;94,6
Дом и сад / Цветы, растения и горшки / Защита и уход за растениями / Инструменты для комнатных растений;2;2020-01-04;50861;14664;392;0,77;326;0,64;83,16;439;85;19,36;20262;167;0,82;21010;9617010;2567870;21,07;12184880;28444;11340;7899751;39,87;40,61;0;196089;1551,9;402;94;11013;898,73;563;4,62;4,59;90,0
Спорт и отдых / Виды спорта / Конный спорт / Амуниция для конного спорта;2;2020-03-17;52931;10268;2206;4,17;1316;2,49;59,66;351;96;27,35;14847;146;0,98;4275;9612382;19173440;66,61;28785822;6296;3219;9879634;51,13;44,18;39;205873;4135,52;1912,5;39;59482;4178,72;2400;4,79;4,51;77,0
Хобби и творчество / Рукоделие / Аксессуары и материалы для рукоделия / Природные материалы;1;2020-01-04;32983;6132;3992;12,1;2612;7,92;65,43;450;168;37,33;6873;539;7,84;21355;9611386;10036892;51,08;19648278;40974;21652;9926152;52,84;57,56;17;806451;1356,75;458;17;13629;662,74;410;4,82;4,63;70,5
Бытовая химия и гигиена / Личная гигиена / Ватно-бумажная продукция / Одноразовые покрытия на унитаз;2;2020-01-04;26113;5255;240;0,92;216;0,83;90;181;45;24,86;12298;105;0,85;39249;9595503;875841;8,36;10471344;61280;24989;7545512;40,78;46,84;54;204253;10086,82;496,5;78;6307;473,74;327;4,73;4,71;95,4
Спорт и отдых / Товары для велоспорта / Аксессуары велосипедные / Хранение велосипедов и велопарковки;3;2020-01-04;22075;6110;554;2,51;379;1,72;68,41;422;100;23,7;10318;206;2;7627;9584804;1518900;13,68;11103704;20163;10778;14173301;53,45;79,31;56;194325;3698,39;860;161;52490;2225,92;1238;4,73;4,69;77,9
Спорт и отдых / Зимний спорт / Одежда для фигурного катания;2;2020-12-19;10785;1342;1933;17,92;1100;10,2;56,91;77;36;46,75;1595;42;2,63;3198;9570702;6965509;42,12;16536211;3992;2120;8171981;53,11;37,45;77;194023;4927,59;3015;301;24121;3397,77;3016;4,77;4,77;41,1
Дом и сад / Сувениры и подарки / Сувенирные деньги;1;2020-01-04;43156;5593;3388;7,85;1965;4,55;58;242;71;29,34;6839;177;2,59;26312;9570433;2378541;19,91;11948974;81378;55520;27013941;68,22;92,78;0;880128;988,55;223;89;17000;548,15;438;4,85;4,85;84,1
Спорт и отдых / Фитнес и йога / Йога и пилатес / Блоки для йоги;1;2020-01-04;18137;5377;377;2,08;289;1,59;76,66;200;71;35,5;8289;85;1,03;12557;9568350;3061370;24,24;12629720;17843;7504;12828238;42,06;42,63;78;970459;4579,7;558;249;8053;1112,32;864;4,79;4,79;75,3
Товары для взрослых / Товары для БДСМ / Наборы для БДСМ;2;2020-01-04;58186;11959;254;0,44;192;0,33;75,59;292;66;22,6;19961;110;0,55;6495;9562266;1723505;15,27;11285771;9042;2774;4631090;30,68;41,76;22;987867;15718,78;11001;155;16052;1964,84;1476;4,61;4,47;77,6
Строительство и ремонт / Отопление / Аксессуары для конвекторов и радиаторов / Монтажные комплекты;2;2020-01-04;18673;2993;1314;7,04;841;4,5;64;570;136;23,86;5947;266;4,47;21933;9544659;3750155;28,21;13294814;56593;32967;16614208;58,25;77,41;11;204260;3183,92;994;49;73304;1058,45;534;4,82;4,57;71,7
Спорт и отдых / Виды спорта / Волейбол / Волейбольные мячи;2;2020-01-04;12784;4319;485;3,79;305;2,39;62,89;218;46;21,1;5165;100;1,94;5971;9529628;1166019;10,9;10695647;18611;12725;17395559;68,37;93,51;77;942426;7825,43;2794;221;37171;2850,11;1666;4,67;4,49;77,8
Строительство и ремонт / Инструменты для ремонта и строительства / Измерительные инструменты / Манометры;2;2020-01-04;50851;10567;1128;2,22;773;1,52;68,53;604;104;17,22;11055;195;1,76;11765;9507486;4406309;31,67;13913795;14401;6581;10015281;45,7;36,72;56;515959;3358,09;988;116;35722;1937,28;1060;4,8;4,5;87,7
Бытовая техника / Крупная бытовая техника / Холодильники / Холодильники портативные;2;2020-05-22;4356;601;142;3,26;113;2,59;79,58;150;37;24,67;1297;50;3,86;1604;9501180;5200647;35,37;14701827;2324;766;4645227;32,96;43,47;310;202579;25675,26;20672;909;68982;10493,32;6823;4,59;4,46;97,1
Дом и сад / Текстиль / Ковры и ковровые дорожки / Коврики для детской;1;2025-09-11;8965;878;552;6,16;353;3,94;63,95;164;43;26,22;2031;81;3,99;4843;9494955;3723992;28,17;13218947;6508;2512;5717402;38,6;40,31;67;187161;4216,39;2324;67;66130;3476,62;2054;4,64;4,63;77,6
Канцелярские товары / Оборудование и принадлежности для торговли / Этикет-пистолеты и счетчики;2;2020-01-04;25854;6443;319;1,23;255;0,99;79,94;250;51;20,4;8642;99;1,15;7945;9481410;4626733;32,79;14108143;16842;8193;6727444;48,65;63,59;67;971645;3785;558;95;39620;3928,55;774;4,74;4,4;87,0
Бытовая техника / Климатическая техника / Аксессуары и запчасти для климатической техники / Аксессуары и запчасти для увлажнителей воздуха;2;2020-01-04;39476;9488;447;1,13;339;0,86;75,84;286;72;25,17;13477;128;0,95;13146;9471669;6684488;41,37;16156157;9931;3760;3242007;37,86;22,66;0;500000;4528,36;1228;20;14519;1778,05;1198;4,63;4,38;92,7
Дом и сад / Товары для праздников / Подарочные упаковки / Ленты и банты упаковочные;2;2020-01-04;35585;6104;3333;9,37;2011;5,65;60,34;357;129;36,13;7618;282;3,7;36529;9470274;3956807;29,47;13427081;77189;47373;17006902;61,37;63,39;34;196056;986,84;290;37;8717;354,49;251;4,89;4,8;83,2
Спорт и отдых / Самокаты и аксессуары / Запчасти для электросамокатов;3;2020-05-21;8762;188;2399;27,38;1409;16,08;58,73;305;134;43,93;510;257;50,39;10384;9467641;6300038;39,96;15767679;23854;14307;14432119;59,98;68,92;47;109000;3306,97;1308,5;49;76532;1878,19;945;4,75;4,65;79,1
Детские товары / Спорт и игры на улице / Спортивная защита для детей;2;2020-01-04;1843;191;705;38,25;568;30,82;80,57;143;82;57,34;522;108;20,69;7951;9460966;5116221;35,1;14577187;6932;2003;2656717;28,89;26,16;77;50775;2220,47;1376;188;10597;1891,26;1403;4,82;4,83;77,8
Бытовая техника / Крупная бытовая техника / Аксессуары и запчасти для крупной бытовой техники / Аксессуары и запчасти для духовых шкафов;1;2020-04-24;16672;1428;2139;12,83;1344;8,06;62,83;251;130;51,79;453;242;53,42;11431;9454215;11014294;53,81;20468509;13981;4570;5953468;32,69;36,69;48;66853;3737,92;2191,5;81;15480;1901,99;1388,5;4,81;4,27;90,9
